"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0546";"Leiden";"2161";"Lisse";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2162";"Lisse";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2163";"Lisse";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2172";"Teylingen";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2181";"Hillegom";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2182";"Hillegom";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2201";"Noordwijk";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2202";"Noordwijk";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2203";"Noordwijk";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2211";"Noordwijk";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0546";"Leiden";"2215";"Teylingen";"00NT";"03";"Leo Kannercollege VSO";"2324JM";"LEIDEN";"Zuid-Holland";"Vso";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
